"";"plant_species";"frugivore_species";"ID";"frugivore_species_old";"frugivore_genus";"frugivore_class";"frugivore_order";"frugivore_family";"frugivore_class_old";"frugivore_order_old";"frugivore_family_old";"plant_species_old";"plant_genus";"plant_class";"plant_order";"plant_family";"plant_family_old";"plant.form";"frug.orig";"plant.origin";"plant.IUCN";"fruit.diameter..mm.";"fruit.length..mm.";"fruit.color";"seed.diameter..mm.";"seed.length..mm.";"frugivore.group";"frugivore.body.mass..g.";"frugivore.mean.gape.size..mm.";"frugivory.score";"frugivore.migration.status";"frugivore.population.trend";"frugivore.IUCN";"Country";"Island";"island.adapted";"specific.location";"habitat";"latitude.centroid";"longitude.centroid";"latitude";"longitude";"geographic";"geographic.lat";"geographic.lon";"precision";"reference";"method";"frugivore_native_status";"frugivore_endemic_status";"frugivore_singleislandendemism";"plant_native_status";"plant_endemic_status";"plant_singleislandendemism"
"1";"Acacia mangium";"Coereba flaveola";608;"Coereba flaveola";"Coereba";"Aves";"Passeriformes";"Thraupidae";"Aves";"Passeriformes";"Thraupidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"2";"Acacia mangium";"Zenaida asiatica";637;"Zenaida asiatica";"Zenaida";"Aves";"Columbiformes";"Columbidae";"Aves";"Columbiformes";"Columbidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Rancho Baiguate, Jarabacoa, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"incidental";"Native";"No";"No";"Introduced";"No";"No"
"3";"Acacia mangium";"Mimus polyglottos";620;"Mimus polyglottos";"Mimus";"Aves";"Passeriformes";"Mimidae";"Aves";"Passeriformes";"Mimidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Vera del Yaque, Las Guázaras, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,08943";"-70,68957";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"4";"Acacia mangium";"Tiaris bicolor";624;"Tiaris bicolor";"Tiaris";"Aves";"Passeriformes";"Thraupidae";"Aves";"Passeriformes";"Thraupidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"5";"Acacia mangium";"Aratinga chloroptera";1870;"Psittacara chloropterus";"Aratinga";"Aves";"Psittaciformes";"Psittacidae";"Aves";"Psittaciformes";"Psittacidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";NA;"";18,89620449;-70,49627229;"";"";"GA";19,0740227101688;-70,7529184711968;"";"Nigel Collar, Peter F. D. Boesman, Chris Sharpe, and Harold F. Greeney, Version: 1.0 — Published March 4, 2027";"animal-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"6";"Acacia mangium";"Zenaida macroura";638;"Zenaida macroura";"Zenaida";"Aves";"Columbiformes";"Columbidae";"Aves";"Columbiformes";"Columbidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"7";"Acacia mangium";"Dulus dominicus";613;"Dulus dominicus";"Dulus";"Aves";"Passeriformes";"Dulidae";"Aves";"Passeriformes";"Dulidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"8";"Acacia mangium";"Tyrannus dominicensis";631;"Tyrannus dominicensis";"Tyrannus";"Aves";"Passeriformes";"Tyrannidae";"Aves";"Passeriformes";"Tyrannidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Mata de Plátano, Jarabacoa, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,12159";"-70,58378";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Introduced";"No";"No"
"9";"Acacia mangium";"Todus subulatus";627;"Todus subulatus";"Todus";"Aves";"Coraciiformes";"Todidae";"Aves";"Coraciiformes";"Todidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
"10";"Acacia mangium";"Turdus plumbeus";629;"Turdus plumbeus";"Turdus";"Aves";"Passeriformes";"Turdidae";"Aves";"Passeriformes";"Turdidae";"Acacia mangium";"Acacia";"Magnoliopsida";"Fabales";"Fabaceae";"Fabaceae";"tree";"native";"nonnative";"";"";NA;"orange";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Introduced";"No";"No"
